time,MA_battery_storage,CT_battery_storage,ME_battery_storage
1,1838.510852738934,1413.0843466523054,282.14118719059934
2,2288.321759198764,1510.9942023359035,340.1217653952268
3,3481.4963548523046,1853.8521723765732,394.3522181643784
4,4484.176083073331,2171.9706409986507,444.084143066876
5,4484.026306503709,2171.8009143731974,503.5758216567106
6,4483.948750410264,2171.7324159951368,579.8690658450467
7,4483.897682625139,2171.688540093904,669.7495185070117
8,4483.861921368313,2171.6588459325512,669.7099584638844
9,4483.829816025939,2171.6353443658736,669.7001048737071
10,2994.240656547213,1419.2739569190207,512.378997648203
11,2304.7989403855977,1147.133700573207,378.54851774750534
12,1885.7361404254732,949.708512340984,259.6437037189402
13,1834.949220580065,913.1565124530105,223.37885494895815
14,1834.9162789998843,913.1332077991182,223.3670606884819
15,1834.8856025493355,913.1130379849997,223.35512550354835
16,1834.802579715489,913.0585013970563,223.32465331573835
17,195.58583325049818,0.019149159458923905,0.08013224536281022
18,0.34447823869039673,378.71203527196064,0.04062425516109676
19,0.3152704880561618,542.1548804617253,0.004582265247673081
20,0.032882731744490405,179.91602768097948,118.41723225642265
21,0.006429350515524332,0.007350113967056841,182.32902626976616
22,243.62033733406238,343.738026046195,212.97778167678578
23,914.8194619729603,845.3221121735735,235.6727121473503
24,1390.6556198019,898.0195300281642,254.0200255539784
25,371.2938452441295,755.390300897219,268.34153036543313
26,375.5379461548387,759.0731401473156,281.1857662892769
27,1213.9218048823768,981.9661356608918,292.55031949422255
28,1942.6594908975915,1243.0962529440194,303.73181803923626
29,2197.538214902488,1332.6439026229048,313.9468238977333
30,2456.986256382714,1428.8770528057482,323.94515977655465
31,2693.429054797427,1557.2317375238283,333.37328726966024
32,1054.2108811207654,644.1905492986871,342.38368772426855
33,1145.8002297122055,696.4823148402498,351.9771497842401
34,1515.7791491534952,872.5800177672244,361.6682250251164
35,1983.8194395883122,1054.7884121049838,371.63033362715265
36,2482.3489040242775,1228.3005764922004,381.43081824846536
37,2981.93995515489,1401.0197046451767,391.44743366336684
38,3488.2112506445283,1593.8501273208792,401.8259635411112
39,4019.1155184723393,1827.7516513886762,412.637347973711
40,4484.176504256323,2171.9720320256256,423.7155135629564
41,4483.991354658046,2119.1848265456633,435.44262325173617
42,3199.6127896905296,1972.6488987902737,446.07445808277896
43,2025.2072487474315,1901.9579502157285,458.29124764211025
44,385.9909506205905,988.9186349700468,472.378209116636
45,0.8193493496151648,940.128384949433,487.82598925748033
46,0.7408584274661636,884.6930777803983,504.7377064953977
47,0.6316385800391733,816.9468029072426,522.4237718005979
48,0.46076280259209873,769.5281043716371,546.5020364963854
49,168.30984907081373,798.8278957941508,583.3522020939246
50,1230.385057675517,856.2048688584047,669.7490464329824
51,1131.1817995387535,808.3077646359376,446.5288956271126
52,1203.6759884052997,837.8389161765792,263.87955304583426
53,2406.3675149620613,1125.5244649303443,147.35694853251985
54,2969.913176279698,1209.2708062269685,0.0047429125319188
55,2127.8227535904857,1079.1089921100227,93.60417547363484
56,488.61481039074664,166.07828760646962,144.1002548253216
57,0.005436381267214763,0.005585800179790069,187.07395397111378
