start,end,pipeline_type,straight_line_km,path_length_km,onshore_km,offshore_km,mean_surface_cost,investment_cost,operational_cost
Nanxiang Basin,Jianghan Basin,onshore,244.77,255.29,255.29,0.0,1.556872010231018,0.00038275350741204,7.375433013698629e-06
Nanxiang Basin,Qinshui Basin,onshore,454.37,469.94,469.94,0.0,1.8178880214691162,0.0008227009625436508,1.3576759726027396e-05
Ningxia,Ordos Basin,onshore,241.25,295.09,295.09,0.0,1.0377141237258911,0.00029489315030342743,8.525271369863012e-06
Ningxia,Yingen-Ejina Basin,onshore,523.93,641.12,641.12,0.0,0.9372403621673584,0.000578659081257389,1.8522220273972602e-05
Ordos Basin,Qinshui Basin,onshore,344.03,420.04,420.04,0.0,1.1176745891571045,0.0004521041482246216,1.2135128219178081e-05
Qaidam Basin,Tarim Basin,onshore,1048.29,1210.36,1210.36,0.0,0.8750736713409424,0.0010199799735582037,3.496779780821917e-05
Qaidam Basin,Yingen-Ejina Basin,onshore,779.96,941.62,941.62,0.0,0.9220840930938721,0.0008361393631350046,2.7203788767123286e-05
Qinghai,Ningxia,onshore,443.8,555.58,555.58,0.0,1.066540241241455,0.0005706322525232001,1.6050934520547945e-05
Qinghai,Qaidam Basin,onshore,690.43,776.56,776.56,0.0,0.93499755859375,0.0006992266273745183,2.2435137534246573e-05
Qinghai,Yingen-Ejina Basin,onshore,542.81,555.51,555.51,0.0,1.17630934715271,0.0006292828474274955,1.604891219178082e-05
Shaanxi,Gansu,onshore,506.32,645.96,645.96,0.0,1.241795539855957,0.0007724816761486628,1.8662049863013697e-05
Shaanxi,Nanxiang Basin,onshore,367.01,440.22,440.22,0.0,1.87590491771698,0.0007952671734284799,1.2718136712328767e-05
Shaanxi,Ningxia,onshore,528.87,565.09,565.09,0.0,1.4347249269485474,0.0007807621128841868,1.6325682328767124e-05
Shaanxi,Ordos Basin,onshore,366.34,403.85,403.85,0.0,1.4639949798583984,0.0005693667999300238,1.1667392465753423e-05
Shaanxi,Qinshui Basin,onshore,417.65,555.05,555.05,0.0,1.5434577465057373,0.0008250101975413707,1.6035622602739724e-05
Shaanxi,Sichuan Basin,onshore,516.97,574.58,574.58,0.0,2.2867395877838135,0.001265317982385237,1.6599852328767123e-05
