type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,2.370002669291408e7,463305.7150788556,7.663588034736032e10,0.0,0.0,0.0,7.666004367976831e10
AluminumSmelting,0.0,1.3704761052061939e6,4.0895798853427025e10,2.9828601876622193e7,4.018955246145801e6,0.0,4.093101688665501e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,6.884582092530331e6,0.0,0.0,6.884582092530331e6
UpstreamEmissions{IronOre},0.0,0.0,0.0,658.601592106008,0.0,0.0,658.601592106008
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.0676696797524385e8,0.0,0.0,1.0676696797524385e8
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.4171474937767575e6,0.0,0.0,1.4171474937767575e6
DRIMaking,749.397347235458,331855.17974303075,45674.62163188438,0.0,0.0,0.0,378279.1987221506
OneWayTransmissionLink{IronOre},1.7663139077320702e9,0.0,0.0,5.570621252658752e7,0.0,0.0,1.8220201202586577e9
OneWayTransmissionLink{SteelScrap},6.173326368827473e6,0.0,0.0,1.0199692116775686e7,0.0,0.0,1.637301848560316e7
CementPlant{Coal},0.0,320167.0577555788,4.21815136260531e7,1.7095241387556598e8,0.0,0.0,2.1345409455937466e8
CO2Injection,0.0,50507.8373132922,0.0,221.15184756194458,0.0,0.0,50728.989160854144
OneWayTransmissionLink{CO2Captured},0.0,17.849923463865387,0.0,1379.6627560825916,0.0,0.0,1397.512679546457
HydroRes,0.0,0.0,5.600396881444847e10,0.0,0.0,0.0,5.600396881444847e10
Battery,0.0,2.6884825142232287e6,2.8718155739686203e9,0.0,0.0,0.0,2.8745040564828434e9
ThermalPower{Coal},0.0,3.8459682519291905e6,5.06795278730272e10,5.0923298517918414e8,154403.1482328696,0.0,5.1192761229606544e10
ThermalPower{NaturalGas},0.0,8.626988867481055e6,4.410956299716428e9,3.1924535049417406e7,60761.23861515752,0.0,4.451568584871942e9
ThermalPower{Uranium},0.0,277448.47642217565,3.5300455295495667e9,4.0833576840159846e6,14026.610108216659,0.0,3.534420362320113e9
TransmissionLink{Electricity},0.0,4.39000500164486e7,0.0,0.0,0.0,0.0,4.39000500164486e7
VRE,0.0,1.519733858692169e6,5.437791438410761e6,0.0,0.0,0.0,6.95752529710293e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,6.081036937081627e6,6.081036937081627e6
Total,1.796188010191159e9,6.339500173021684e7,2.3507565827118375e11,9.269987552859156e8,4.248146243102045e6,6.081036937081627e6,2.3787256922157123e11
