Province,Technology,Capacity
Jiangxi,Solar Utility,1.4251266921663728
Jiangxi,Wind Onshore,1.219783207011493
Jilin,Battery,2.65919348908692
Jilin,Coal,18051.10770442678
Jilin,Hydropower,5845.0
Jilin,Natural Gas,3.8851283860983488
Jilin,Pumped Hydro,1700.0
Jilin,Solar Utility,0.988620170418443
Jilin,Wind Onshore,1.2715713430234532
Liaoning,Battery,2.8249776483180593
Liaoning,Coal,23579.06247167682
Liaoning,Hydropower,3995.0
Liaoning,Natural Gas,4.1079723024150105
Liaoning,Nuclear,1790.4333607255746
Liaoning,Pumped Hydro,3000.0
Liaoning,Solar Distributed,1.1502758649683074
Liaoning,Solar Utility,1.0669386468674134
Liaoning,Wind Offshore,0.3873014894935497
Liaoning,Wind Onshore,1.312366472580428
Ningxia,Battery,2.164417330629333
Ningxia,Coal,24657.77318509964
Ningxia,Hydropower,425.0
Ningxia,Natural Gas,522.468997570646
Ningxia,Solar Distributed,1.1368683772161605e-13
Ningxia,Solar Utility,1.4845259287728825
Ningxia,Wind Onshore,1.281667436359659
Qinghai,Battery,2.314436089486375
Qinghai,Coal,6455.508982084242
Qinghai,Hydropower,15360.0
Qinghai,Natural Gas,4.003329057857151
Qinghai,Solar Distributed,1.9539925233402755e-14
Qinghai,Solar Utility,1.4700137926588468
Qinghai,Wind Onshore,1.330172373905698
Shaanxi,Battery,2.3277607417115505
Shaanxi,Coal,38853.23988989506
Shaanxi,Hydropower,3866.0
Shaanxi,Natural Gas,4.003740077119554
Shaanxi,Pumped Hydro,1400.0
Shaanxi,Solar Distributed,3.410605131648481e-13
Shaanxi,Solar Utility,1.4687812237962137
Shaanxi,Wind Onshore,1.3150202900112242
Shandong,Battery,2.2349729616934124
Shandong,Coal,106213.0370649206
Shandong,Hydropower,4000.0
Shandong,Natural Gas,4158.78613984326
Shandong,Nuclear,1003.5462242812916
Shandong,Pumped Hydro,4000.0
Shandong,Solar Distributed,1.3363768934586917
Shandong,Solar Utility,1.442213183437843
Shandong,Wind Offshore,0.3760462264270392
Shandong,Wind Onshore,1.3051281170872413
Shanghai,Battery,2.149280867025405
Shanghai,Coal,15800.489810985957
Shanghai,Hydropower,6343.0
Shanghai,Natural Gas,8065.565084587281
Shanghai,Pumped Hydro,1200.0
Shanghai,Solar Distributed,1.167748972468928
Shanghai,Solar Utility,1.22856000287047
Shanghai,Wind Offshore,0.4970125448367745
Shanghai,Wind Onshore,1.1444026447943374
Shanxi,Battery,2.2747273517431426
Shanxi,Coal,53891.80548384621
Shanxi,Hydropower,1200.0
Shanxi,Natural Gas,2230.2648432224146
Shanxi,Pumped Hydro,1200.0
Shanxi,Solar Utility,1.454681807749921
Shanxi,Wind Onshore,1.439456250402589
Sichuan,Battery,2.3433444818640514
Sichuan,Coal,14156.644806590832
Sichuan,Hydropower,77966.0
Sichuan,Natural Gas,1192.370989912897
Sichuan,Solar Utility,1.329835529688978
Sichuan,Wind Onshore,1.3662989827759036
Tianjin,Battery,3.5373945429156857
Tianjin,Coal,13314.119678668922
Tianjin,Natural Gas,3658.45645095447
Tianjin,Solar Distributed,1.188824130457789
Tianjin,Solar Utility,1.1315382429677925
Tianjin,Wind Offshore,0.4884360550854872
Tianjin,Wind Onshore,0.6636708586097476
Tibet,Battery,2.4355465467490016
Tibet,Coal,3.280160615559579
Tibet,Hydropower,2071.0
Tibet,Natural Gas,4.023719312659129
Tibet,Pumped Hydro,113.0
Tibet,Solar Distributed,1.898560373056661
Tibet,Solar Utility,1.3054545935638942
Tibet,Wind Onshore,1.273919010947334
Xinjiang,Battery,2.294785080845942
Xinjiang,Coal,56656.4947362777
Xinjiang,Hydropower,7559.0
Xinjiang,Natural Gas,801.0987851810247
Xinjiang,Pumped Hydro,1200.0
Xinjiang,Solar Utility,1.450231933170926
Xinjiang,Wind Onshore,1.3883054211134285
Yunnan,Battery,0.6147568493219171
Yunnan,Coal,7424.520869996099
Yunnan,Hydropower,78760.0
Yunnan,Natural Gas,4.059359466442845
Yunnan,Solar Distributed,1.5631940186722204e-13
Yunnan,Solar Utility,1.4031937994664077
Yunnan,Wind Onshore,1.311484937155911
Zhejiang,Battery,2.4315155011846334
Zhejiang,Coal,51238.88380871719
Zhejiang,Hydropower,10129.0
Zhejiang,Natural Gas,14681.468815901831
Zhejiang,Nuclear,3636.402730778209
Zhejiang,Pumped Hydro,7680.0
Zhejiang,Solar Distributed,1.4904705644232763
Zhejiang,Solar Utility,1.2869237921332797
Zhejiang,Wind Offshore,0.5151236141543001
Zhejiang,Wind Onshore,0.9497775196246656
