type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,3.8209154042904186e8,2.0818099072007843e11,3.5023141810488914e10,0.0,0.0,0.0,2.435862240709964e11
AluminumSmelting,0.0,1.814587468864275e7,4.507964612377559e10,3.579745308477879e8,3.974603691646751e7,0.0,4.5495512566228485e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,5.920942879906125e8,0.0,0.0,5.920942879906125e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,3.273774600112823e9,0.0,0.0,3.273774600112823e9
OneWayTransmissionLink{DRI},0.0,0.0,0.0,8.993031109598692e7,0.0,0.0,8.993031109598692e7
DRIMaking,2.8013391920638546e10,3.0226553488477454e11,4.159952727103522e10,0.0,0.0,0.0,3.718784540764483e11
OneWayTransmissionLink{IronOre},2.4067185666058857e10,0.0,0.0,2.171794220099392e9,0.0,0.0,2.623897988615825e10
OneWayTransmissionLink{SteelScrap},1.517110896979525e8,0.0,0.0,3.3041246944829625e8,0.0,0.0,4.8212355914624876e8
CementPlant{Coal},0.0,7.40801866211017e10,2.2832059835504852e7,2.6049943553229294e9,0.0,0.0,7.670801303626013e10
CO2Injection,0.0,7.386623011313992e9,0.0,3.88113705854301e8,0.0,0.0,7.774736717168293e9
OneWayTransmissionLink{CO2Captured},0.0,2.241085590687454e6,0.0,2.2435016317069488e9,0.0,0.0,2.245742717297636e9
HydroRes,0.0,0.0,5.600396881444847e10,0.0,0.0,0.0,5.600396881444847e10
Battery,0.0,1.9416568027419217e7,8.554717305502597e9,0.0,0.0,0.0,8.574133873530016e9
ThermalPower{Coal},0.0,1.8285376010676432e7,2.36662141481381e10,220799.89674714772,1.222543168821625e6,0.0,2.3685942867214348e10
ThermalPower{NaturalGas},0.0,1.4035095569648923e11,4.8419559612562904e10,3.054583079439274e9,1.420420949326875e9,0.0,1.9324551933781827e11
ThermalPower{Uranium},0.0,4.116772600937697e10,1.7669382016203632e10,2.4577337623133883e8,62591.90509249556,0.0,5.9082943993717026e10
TransmissionLink{Electricity},0.0,4.1914260767360587e9,0.0,0.0,0.0,0.0,4.1914260767360587e9
VRE,0.0,3.5236315718092993e11,1.4530731731710065e11,0.0,0.0,0.0,4.976704744980306e11
Node{Electricity},0.0,0.0,0.0,0.0,0.0,8.129855525526941e7,8.129855525526941e7
Total,5.26143802168244e10,1.1300446891051182e12,4.2134630647909155e11,1.5353167368046438e10,1.4614521213172567e9,8.129855525526941e7,1.620901293845653e12
