type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,2.3699975465776306e7,637764.4157669767,7.663593958439694e10,0.0,0.0,0.0,7.666027732427849e10
AluminumSmelting,0.0,1.7614075153541055e6,4.089789915069538e10,2.9829142207830664e7,5.920642883319517e6,0.0,4.093541034330188e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,7.143240357703456e6,0.0,0.0,7.143240357703456e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.0700051673763634e8,0.0,0.0,1.0700051673763634e8
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.6906475040094545e6,0.0,0.0,1.6906475040094545e6
DRIMaking,1580.9233383854876,521954.9204331931,71837.52984202401,0.0,0.0,0.0,595373.3736136026
OneWayTransmissionLink{IronOre},1.766316551807761e9,0.0,0.0,5.597158915837909e7,0.0,0.0,1.82228814096614e9
OneWayTransmissionLink{SteelScrap},6.222973880559866e6,0.0,0.0,1.0373997219361095e7,0.0,0.0,1.6596971099920962e7
CementPlant{Coal},0.0,426956.1601091771,4.218056918455602e7,1.7094873612887424e8,0.0,0.0,2.1355626147353944e8
CO2Injection,0.0,65744.48918941067,0.0,287.86651784490624,0.0,0.0,66032.35570725557
OneWayTransmissionLink{CO2Captured},0.0,23.068693003823114,0.0,1790.3954090300779,0.0,0.0,1813.4641020339009
HydroRes,0.0,0.0,5.600396881444847e10,0.0,0.0,0.0,5.600396881444847e10
Battery,0.0,2.7567713723734985e6,2.872222225363596e9,0.0,0.0,0.0,2.8749789967359695e9
ThermalPower{Coal},0.0,4.798788722079041e6,5.069093469074023e10,5.093486665627811e8,207139.21234912766,0.0,5.1205289285237434e10
ThermalPower{NaturalGas},0.0,1.0576008086400397e7,4.405465296788641e9,3.1871132413616147e7,76539.87723525445,0.0,4.447988977165893e9
ThermalPower{Uranium},0.0,317603.60174548376,3.5309502673223257e9,4.081542335119641e6,19067.63172535944,0.0,3.5353684808909163e9
TransmissionLink{Electricity},0.0,4.776306644900599e7,0.0,0.0,0.0,0.0,4.776306644900599e7
VRE,0.0,1.6928160582164628e6,7.638888363528728e6,0.0,0.0,0.0,9.33170442174519e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,8.115720778179963e6,8.115720778179963e6
Total,1.7962410820774355e9,7.131890485936674e7,2.350872713248335e11,9.282612888872381e8,6.223389604629259e6,8.115720778179963e6,2.378974317110403e11
