type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,4.356220832924165e8,2.171199676873406e11,3.9493544272605934e10,0.0,0.0,0.0,2.5704913404323895e11
AluminumSmelting,0.0,1.69185794775444e7,5.148357808844848e10,4.0767619605967784e8,6.06522997808274e7,0.0,5.196882516376653e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1.1564757857014807e8,0.0,0.0,1.1564757857014807e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,2.1818573267858562e9,0.0,0.0,2.1818573267858562e9
OneWayTransmissionLink{DRI},0.0,0.0,0.0,2.1290816230560517e8,0.0,0.0,2.1290816230560517e8
DRIMaking,3.2030721893572372e10,3.1710628723545074e11,4.756594328997313e10,0.0,0.0,0.0,3.967029524189963e11
OneWayTransmissionLink{IronOre},2.7424769011369278e10,0.0,0.0,1.7119944846494093e9,0.0,0.0,2.913676349601869e10
OneWayTransmissionLink{SteelScrap},8.900536205806069e7,0.0,0.0,2.037949334469632e8,0.0,0.0,2.928002955050239e8
CementPlant{Coal},0.0,9.188926443734367e10,2.247420670487928e7,3.0680282641104307e9,0.0,0.0,9.497976690815898e10
CO2Injection,0.0,9.448661353648832e9,0.0,4.964589322766348e8,0.0,0.0,9.945120285925467e9
OneWayTransmissionLink{CO2Captured},0.0,3.0707904983528692e7,0.0,2.0524082266292853e9,0.0,0.0,2.083116131612814e9
HydroRes,0.0,0.0,6.3786179374999985e10,0.0,0.0,0.0,6.3786179374999985e10
Battery,0.0,2.715759736430384e7,5.79536686958396e9,0.0,0.0,0.0,5.822524466948263e9
ThermalPower{Coal},0.0,1.903615798668067e7,2.6961573160280552e10,8.3519256807172485e6,6.053705656834927e7,0.0,2.7049498300516296e10
ThermalPower{NaturalGas},0.0,1.6273426249141455e11,5.603578408905321e10,3.70500241282628e9,1.2101741950704458e9,0.0,2.236852231883645e11
ThermalPower{Uranium},0.0,4.688558009322113e10,2.0124099070450127e10,2.7994910269476587e8,116999.5300882248,0.0,6.728974526589611e10
TransmissionLink{Electricity},0.0,3.903103893301771e9,0.0,0.0,0.0,0.0,3.903103893301771e9
VRE,0.0,3.251346096104122e11,1.527441476257113e11,0.0,0.0,0.0,4.778787572361235e11
Node{Electricity},0.0,0.0,0.0,0.0,0.0,1.1921517016272807e8,1.1921517016272807e8
Total,5.998011835029213e10,1.1743155570419453e12,4.640126900478115e11,1.4444077546035774e10,1.3314805509497106e9,1.1921517016272807e8,1.7142031387071975e12
