zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
steelscrap_source_Region1Beijing_Region1Beijing_bfbofccs_transforms,0.031189083475626034,0.0,0.0,0.0,0.0,0.0,0.031189083475626034
Region1Beijing_bfbofccs_transforms_crudesteel_Region1Beijing,0.0,3262.1231913706024,489.34563537692543,0.0,0.0,0.0,3751.4688267475276
steelscrap_source_Region2Tianjin_Region2Tianjin_bfbofccs_transforms,0.03173926196142777,0.0,0.0,0.0,0.0,0.0,0.03173926196142777
Region2Tianjin_bfbofccs_transforms_crudesteel_Region2Tianjin,0.0,3319.6673638157336,497.977740290036,0.0,0.0,0.0,3817.6451041057694
steelscrap_source_Region3Hebei_Region3Hebei_bfbofccs_transforms,0.031049352268102924,0.0,0.0,0.0,0.0,0.0,0.031049352268102924
Region3Hebei_bfbofccs_transforms_crudesteel_Region3Hebei,0.0,3247.5084492293136,487.15330239026287,0.0,0.0,0.0,3734.6617516195765
steelscrap_source_Region4Shanxi_Region4Shanxi_bfbofccs_transforms,0.02514245783512718,0.0,0.0,0.0,0.0,0.0,0.02514245783512718
Region4Shanxi_bfbofccs_transforms_crudesteel_Region4Shanxi,0.0,2629.695574610969,394.4762280008265,0.0,0.0,0.0,3024.171802611795
steelscrap_source_Region5Innermongolia_Region5Innermongolia_bfbofccs_transforms,0.02864033388052574,0.0,0.0,0.0,0.0,0.0,0.02864033388052574
Region5Innermongolia_bfbofccs_transforms_crudesteel_Region5Innermongolia,0.0,2995.5448172522774,449.35666003541775,0.0,0.0,0.0,3444.9014772876953
steelscrap_source_Region6Liaoning_Region6Liaoning_bfbofccs_transforms,0.029791144870217893,0.0,0.0,0.0,0.0,0.0,0.029791144870217893
Region6Liaoning_bfbofccs_transforms_crudesteel_Region6Liaoning,0.0,3115.9102400224806,467.4124754744876,0.0,0.0,0.0,3583.322715496968
steelscrap_source_Region7Jilin_Region7Jilin_bfbofccs_transforms,0.030074558264514172,0.0,0.0,0.0,0.0,0.0,0.030074558264514172
Region7Jilin_bfbofccs_transforms_crudesteel_Region7Jilin,0.0,3145.55296443923,471.85913090809885,0.0,0.0,0.0,3617.412095347329
steelscrap_source_Region8Heilongjiang_Region8Heilongjiang_bfbofccs_transforms,0.029973564602164278,0.0,0.0,0.0,0.0,0.0,0.029973564602164278
Region8Heilongjiang_bfbofccs_transforms_crudesteel_Region8Heilongjiang,0.0,3134.98985288161,470.274576238185,0.0,0.0,0.0,3605.2644291197953
steelscrap_source_Region9Shanghai_Region9Shanghai_bfbofccs_transforms,0.03013797685955913,0.0,0.0,0.0,0.0,0.0,0.03013797685955913
Region9Shanghai_bfbofccs_transforms_crudesteel_Region9Shanghai,0.0,3152.186031096096,472.85414612588346,0.0,0.0,0.0,3625.0401772219793
steelscrap_source_Region10Jiangsu_Region10Jiangsu_bfbofccs_transforms,0.027167050319561317,0.0,0.0,0.0,0.0,0.0,0.027167050319561317
Region10Jiangsu_bfbofccs_transforms_crudesteel_Region10Jiangsu,0.0,2841.4513994241133,426.24136455730826,0.0,0.0,0.0,3267.6927639814216
steelscrap_source_Region11Zhejiang_Region11Zhejiang_bfbofccs_transforms,0.027382438327616176,0.0,0.0,0.0,0.0,0.0,0.027382438327616176
Region11Zhejiang_bfbofccs_transforms_crudesteel_Region11Zhejiang,0.0,2863.9792244808514,429.62072585648036,0.0,0.0,0.0,3293.599950337332
steelscrap_source_Region12Anhui_Region12Anhui_bfbofccs_transforms,0.02836137627280955,0.0,0.0,0.0,0.0,0.0,0.02836137627280955
Region12Anhui_bfbofccs_transforms_crudesteel_Region12Anhui,0.0,2966.368131690119,444.9799143096966,0.0,0.0,0.0,3411.3480459998154
steelscrap_source_Region13Fujian_Region13Fujian_bfbofccs_transforms,0.02829643604573666,0.0,0.0,0.0,0.0,0.0,0.02829643604573666
Region13Fujian_bfbofccs_transforms_crudesteel_Region13Fujian,0.0,2959.5759147609856,443.9610252261705,0.0,0.0,0.0,3403.536939987156
steelscrap_source_Region15Shandong_Region15Shandong_bfbofccs_transforms,0.029601951986062514,0.0,0.0,0.0,0.0,0.0,0.029601951986062514
Region15Shandong_bfbofccs_transforms_crudesteel_Region15Shandong,0.0,3096.1222108061756,464.44410635975737,0.0,0.0,0.0,3560.566317165933
steelscrap_source_Region16Henan_Region16Henan_bfbofccs_transforms,0.02953431890138625,0.0,0.0,0.0,0.0,0.0,0.02953431890138625
Region16Henan_bfbofccs_transforms_crudesteel_Region16Henan,0.0,3089.0483429831984,463.38296729745457,0.0,0.0,0.0,3552.4313102806527
steelscrap_source_Region17Hubei_Region17Hubei_bfbofccs_transforms,0.02892917126650022,0.0,0.0,0.0,0.0,0.0,0.02892917126650022
Region17Hubei_bfbofccs_transforms_crudesteel_Region17Hubei,0.0,3025.754846862753,453.8884159708159,0.0,0.0,0.0,3479.6432628335688
steelscrap_source_Region18Hunan_Region18Hunan_bfbofccs_transforms,0.023182358612513738,0.0,0.0,0.0,0.0,0.0,0.023182358612513738
Region18Hunan_bfbofccs_transforms_crudesteel_Region18Hunan,0.0,2424.685217815082,363.72296780191203,0.0,0.0,0.0,2788.408185616994
steelscrap_source_Region19Guangdong_Region19Guangdong_bfbofccs_transforms,0.027862191323503177,0.0,0.0,0.0,0.0,0.0,0.027862191323503177
Region19Guangdong_bfbofccs_transforms_crudesteel_Region19Guangdong,0.0,2914.1574663402357,437.14787986149537,0.0,0.0,0.0,3351.305346201731
steelscrap_source_Region20Guangxi_Region20Guangxi_bfbofccs_transforms,0.02755353478994329,0.0,0.0,0.0,0.0,0.0,0.02755353478994329
Region20Guangxi_bfbofccs_transforms_crudesteel_Region20Guangxi,0.0,2881.8745158944307,432.3051685440522,0.0,0.0,0.0,3314.179684438483
