elec_MA,elec_CT,elec_ME,CT_NG,ME_NG,MA_NG
57.12386648118625,56.420758011030486,0.1000629631017344,18.596171911475263,18.596171911475263,18.01610783350264
48.072905479248845,47.48112695935065,0.10007624739410716,18.596171911475263,18.596171911475263,18.01610783350264
48.07191205647392,47.480045795118365,0.1000621946323531,18.596171911475263,18.596171911475263,18.01610783350264
48.07244368906696,47.480666535811096,0.10007336742495197,18.596171911475263,18.596171911475263,18.01610783350264
100.43291614195147,99.19694778526234,0.10010871323617784,18.596171911475263,18.596171911475263,18.01610783350264
100.4343054678281,99.1983176691181,0.10019003878189399,18.596171911475263,18.596171911475263,18.01610783350264
100.43389132222899,99.19789130321263,0.10071266990000641,18.596171911475263,18.596171911475263,18.01610783350264
100.433581044166,99.19755914253116,98.44336057070002,18.596171911475263,18.596171911475263,18.01610783350264
100.43364098219145,99.19762062592196,98.45915349047364,18.596171911475263,18.596171911475263,18.01610783350264
103.68892113363637,102.41292735738551,105.7664878394712,18.596171911475263,18.596171911475263,18.01610783350264
103.68699957910628,102.41105417991736,105.7653052072178,18.596171911475263,18.596171911475263,18.01610783350264
103.6866364568575,102.41070038005485,105.76503130424588,18.596171911475263,18.596171911475263,18.01610783350264
103.68163655544855,102.40571279881426,105.75993193216233,18.596171911475263,18.596171911475263,18.01610783350264
100.43379944471477,99.19769683453387,102.44695239966465,18.596171911475263,18.596171911475263,18.01610783350264
100.43472289339752,99.1984720229528,102.44780410551289,18.596171911475263,18.596171911475263,18.01610783350264
102.07549168960273,100.8177332748094,104.12085170739013,18.596171911475263,18.596171911475263,18.01610783350264
214.25564582816276,211.61863565865187,210.04582769232778,18.596171911475263,18.596171911475263,18.01610783350264
103.68517621440841,74.1056906347685,101.64711454861533,18.596171911475263,18.596171911475263,18.01610783350264
100.46611954975351,74.10598514580349,98.46901488540922,18.596171911475263,18.596171911475263,18.01610783350264
102.04633607664651,87.88122901858428,0.10012168309898077,18.596171911475263,18.596171911475263,18.01610783350264
88.97615198468473,87.87934562420708,0.10011541536716126,18.596171911475263,18.596171911475263,18.01610783350264
0.10649240852241836,0.10122436517134589,0.10003070390659508,18.596171911475263,18.596171911475263,18.01610783350264
0.10514745573867562,0.10036557709800394,0.10001808870598662,18.596171911475263,18.596171911475263,18.01610783350264
0.10488954457288843,0.1030663020111553,0.10001301167463968,18.596171911475263,18.596171911475263,18.01610783350264
0.451377113729282,0.4457829685794998,0.1000590155201901,18.596171911475263,18.596171911475263,18.01610783350264
0.12959089036568253,0.12790340073001594,0.10007500302382923,18.596171911475263,18.596171911475263,18.01610783350264
0.10250231839864385,0.10044993069187683,0.09999040255392119,18.596171911475263,18.596171911475263,18.01610783350264
0.1023538285751088,0.10020272382324653,0.09995808398096256,18.596171911475263,18.596171911475263,18.01610783350264
0.10287900294671462,0.10136095293193811,0.09998369368213554,18.596171911475263,18.596171911475263,18.01610783350264
0.10285747906345753,0.10123517481190952,0.09999199589727913,18.596171911475263,18.596171911475263,18.01610783350264
0.10292081177319597,0.10100320691294397,0.10002538656319603,18.596171911475263,18.596171911475263,18.01610783350264
393.72948853492323,388.8842631561235,0.1001145769976343,18.596171911475263,18.596171911475263,18.01610783350264
0.10382460076159929,0.10226250365946561,0.10003267556311964,18.596171911475263,18.596171911475263,18.01610783350264
0.10223697282320168,0.1002638108701823,0.09995762326529313,18.596171911475263,18.596171911475263,18.01610783350264
0.10198206563168691,0.10005833995891378,0.09993455307441312,18.596171911475263,18.596171911475263,18.01610783350264
