time,elec_MA_seg1,elec_MA_seg2,elec_MA_seg3,elec_MA_seg4,elec_CT_seg1,elec_CT_seg2,elec_CT_seg3,elec_CT_seg4,elec_ME_seg1,elec_ME_seg2,elec_ME_seg3,elec_ME_seg4
22,9.553511765363145e-7,2.347227126665583e-6,6.2577749087804245e-6,2.4029822875649113e-5,1.2330561156172414e-6,3.2265408735918917e-6,8.075305042846e-6,2.0241740712665847e-5,1.5451835319469245e-6,3.048756451112191e-6,1.0717824752807931e-5,1.6158871556093226e-5
23,1.0027200038938457e-6,2.473361601419473e-6,6.2063732097895305e-6,2.417335888548971e-5,1.2733819707608175e-6,3.2028406877813574e-6,8.637692863895877e-6,2.0074315340237193e-5,1.5837737026267448e-6,3.3167204461987578e-6,1.069763254527209e-5,1.587286459728855e-5
24,1.031334700851422e-6,2.5458840726973447e-6,6.0604078806490545e-6,2.3985472739396472e-5,1.2800135643408394e-6,3.1245287638724454e-6,9.13891920537744e-6,1.930537989052673e-5,1.627607664999028e-6,3.669445143858002e-6,1.0511382849775641e-5,1.5542262735492154e-5
25,1.0706200497701295e-6,2.6333814759420936e-6,6.003793761155718e-6,2.408782340193319e-5,1.3012738302653516e-6,3.0842965188295444e-6,9.487825269221568e-6,1.88277947125397e-5,1.6347288740792024e-6,4.028199497136232e-6,1.0039186480610572e-5,1.5154344074547543e-5
26,1.0808537133877946e-6,2.6695542154105466e-6,5.9317582415898095e-6,2.377753528186577e-5,1.3140289632993905e-6,3.050941700680961e-6,9.648179336293948e-6,1.8485408717811772e-5,1.6643098451363885e-6,4.195352455173922e-6,9.889926472696248e-6,1.4986804817265319e-5
27,1.1027288997573427e-6,2.763846542601941e-6,5.896832499474428e-6,2.3905948404525536e-5,1.35286560291352e-6,3.02652762881794e-6,9.986611976919926e-6,1.8610465634654152e-5,1.6533038958740084e-6,4.286883400322107e-6,9.680009336805115e-6,1.4808555881006481e-5
28,1.0918149782138485e-6,2.76498042472837e-6,5.851900707742556e-6,2.38116974666153e-5,1.3655598550308623e-6,3.034883842876977e-6,1.0058246001543254e-5,1.8650232215885927e-5,1.6762416438236429e-6,4.308804719756755e-6,9.741819700342112e-6,1.4862179284881721e-5
29,1.0884166676871002e-6,2.720877162002136e-6,5.911725698549658e-6,2.3947790754088246e-5,1.3349739870771892e-6,3.041288223411338e-6,9.807404245535139e-6,1.8558931791970525e-5,1.6584208297849051e-6,4.24901425168319e-6,9.774714724976262e-6,1.4908913510590445e-5
30,1.0586917205050728e-6,2.6544942074109944e-6,5.939652562276311e-6,2.403124640860437e-5,1.327779289029711e-6,3.090947771243985e-6,9.633403114230167e-6,1.8927221996752683e-5,1.651841650819186e-6,4.048391791365596e-6,1.0081764647730442e-5,1.5158616421244833e-5
31,1.0480249965121242e-6,2.5637847643291732e-6,6.074368040260848e-6,2.410922599542991e-5,1.2982452573556036e-6,3.134139344754014e-6,9.202690256004387e-6,1.9213702036589913e-5,1.6024109910046954e-6,3.7930310897182907e-6,1.0222065747056137e-5,1.5379874387195376e-5
32,1.0508619594539181e-6,2.492673667257308e-6,6.276411091709744e-6,2.526894742205523e-5,1.2809234128250883e-6,3.1959430056405926e-6,8.890833488589722e-6,2.027665198876334e-5,1.592049143635157e-6,3.533674167674607e-6,1.0500059196061982e-5,1.565081231778627e-5
