type,Investment,FixedOM,VariableOM,Startup,Fuel,NonServedDemand,UnmetPolicyPenalty,Total
Battery,2.1479601937643552e8,5.368546251928657e7,673116.3525366412,0.0,0.0,0.0,0.0,2.691545982482587e8
ThermalPower{NaturalGas},1.2180598588055203e9,1.8654430403902224e8,1.6964770126577333e8,1.1289060004672827e8,8.84701333511206e8,0.0,0.0,2.57184379766825e9
TransmissionLink{Electricity},7.409724644341683e7,0.0,0.0,0.0,0.0,0.0,0.0,7.409724644341683e7
VRE,2.3576327653948746e9,8.927760828390679e8,5.831770182040101e6,0.0,0.0,0.0,0.0,3.2562406184159827e9
Node{Electricity},0.0,0.0,0.0,0.0,0.0,3.446962800099323e6,0.0,3.446962800099323e6
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,2.7500422076196055e9,2.7500422076196055e9
Total,3.8645858900202475e9,1.1330058493973768e9,1.7615258780035007e8,1.1289060004672827e8,8.84701333511206e8,3.446962800099323e6,2.7500422076196055e9,8.924825431195614e9
