zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
steelscrap_source_Region1Beijing_Region1Beijing_bfbofccs_transforms,5.768509805902508,0.0,0.0,0.0,0.0,0.0,5.768509805902508
Region1Beijing_bfbofccs_transforms_crudesteel_Region1Beijing,0.0,54798.87321190486,7542.155730955745,0.0,0.0,0.0,62341.028942860605
steelscrap_source_Region2Tianjin_Region2Tianjin_bfbofccs_transforms,5.183059782965299,0.0,0.0,0.0,0.0,0.0,5.183059782965299
Region2Tianjin_bfbofccs_transforms_crudesteel_Region2Tianjin,0.0,49237.29792498823,6776.697164660855,0.0,0.0,0.0,56013.995089649085
steelscrap_source_Region3Hebei_Region3Hebei_bfbofccs_transforms,5.173076407245912,0.0,0.0,0.0,0.0,0.0,5.173076407245912
Region3Hebei_bfbofccs_transforms_crudesteel_Region3Hebei,0.0,49142.45926497323,6763.644196575502,0.0,0.0,0.0,55906.10346154873
steelscrap_source_Region4Shanxi_Region4Shanxi_bfbofccs_transforms,5.551242216787827,0.0,0.0,0.0,0.0,0.0,5.551242216787827
Region4Shanxi_bfbofccs_transforms_crudesteel_Region4Shanxi,0.0,52734.90531212377,7258.084792787972,0.0,0.0,0.0,59992.99010491174
steelscrap_source_Region5Innermongolia_Region5Innermongolia_bfbofccs_transforms,5.393952797318202,0.0,0.0,0.0,0.0,0.0,5.393952797318202
Region5Innermongolia_bfbofccs_transforms_crudesteel_Region5Innermongolia,0.0,51240.70954144671,7052.433535116974,0.0,0.0,0.0,58293.14307656368
steelscrap_source_Region6Liaoning_Region6Liaoning_bfbofccs_transforms,4.280725697295402,0.0,0.0,0.0,0.0,0.0,4.280725697295402
Region6Liaoning_bfbofccs_transforms_crudesteel_Region6Liaoning,0.0,40665.43225791268,5596.922071185548,0.0,0.0,0.0,46262.35432909823
steelscrap_source_Region7Jilin_Region7Jilin_bfbofccs_transforms,5.765915807231496,0.0,0.0,0.0,0.0,0.0,5.765915807231496
Region7Jilin_bfbofccs_transforms_crudesteel_Region7Jilin,0.0,54774.231110379704,7538.764154517265,0.0,0.0,0.0,62312.99526489697
steelscrap_source_Region8Heilongjiang_Region8Heilongjiang_bfbofccs_transforms,5.7901505944706955,0.0,0.0,0.0,0.0,0.0,5.7901505944706955
Region8Heilongjiang_bfbofccs_transforms_crudesteel_Region8Heilongjiang,0.0,55004.4533129806,7570.450421094775,0.0,0.0,0.0,62574.90373407538
steelscrap_source_Region9Shanghai_Region9Shanghai_bfbofccs_transforms,5.199224075136152,0.0,0.0,0.0,0.0,0.0,5.199224075136152
Region9Shanghai_bfbofccs_transforms_crudesteel_Region9Shanghai,0.0,49390.853180511054,6797.831497952371,0.0,0.0,0.0,56188.684678463425
steelscrap_source_Region10Jiangsu_Region10Jiangsu_bfbofccs_transforms,4.425440485990934,0.0,0.0,0.0,0.0,0.0,4.425440485990934
Region10Jiangsu_bfbofccs_transforms_crudesteel_Region10Jiangsu,0.0,42040.173330468286,5786.1323715298795,0.0,0.0,0.0,47826.305701998164
