2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region18Hunan.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region5Innermongolia.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region10Jiangsu.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region14Jiangxi.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region7Jilin.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region6Liaoning.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region30Ningxia.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region29Qinghai.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region27Shaanxi.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region15Shandong.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region4Shanxi.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region23Sichuan.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region26Tibet.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region31Xinjiang.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region25Yunnan.
2026-06-22 14:51:55 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of graphite_source_Region11Zhejiang.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region1Beijing.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region2Tianjin.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region3Hebei.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region4Shanxi.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region5Innermongolia.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region6Liaoning.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region7Jilin.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region8Heilongjiang.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region9Shanghai.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region10Jiangsu.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region11Zhejiang.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region12Anhui.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region13Fujian.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region14Jiangxi.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region15Shandong.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region16Henan.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region17Hubei.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region18Hunan.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region19Guangdong.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region20Guangxi.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region21Hainan.
