type,Investment,FixedOM,VariableOM,Startup,Fuel,NonServedDemand,UnmetPolicyPenalty,Total
Battery,2.1455332294786757e8,5.362480418547523e7,671600.846589724,0.0,0.0,0.0,0.0,2.6884972797993255e8
ThermalPower{NaturalGas},1.2181113623173478e9,1.8655194133526835e8,1.69613381427241e8,1.1290668108557057e8,8.845150714956626e8,0.0,0.0,2.5716984376610904e9
TransmissionLink{Electricity},7.4099e7,0.0,0.0,0.0,0.0,0.0,0.0,7.4099e7
VRE,2.358399907005152e9,8.929694200512059e8,5.829135855808981e6,0.0,0.0,0.0,0.0,3.2571984629121675e9
Node{Electricity},0.0,0.0,0.0,0.0,0.0,3.4306891483516484e6,0.0,3.4306891483516484e6
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,2.749485285038491e9,2.749485285038491e9
Total,3.8651635922703676e9,1.1331461655719495e9,1.761141181296397e8,1.1290668108557057e8,8.845150714956626e8,3.4306891483516484e6,2.749485285038491e9,8.924761602740032e9
