time,MA_battery_storage,CT_battery_storage,ME_battery_storage
1,1712.5040232678487,1544.4907104710041,369.73491883985116
2,1781.7899208187623,2028.017344904775,369.73491883985116
3,3172.6335657735813,2171.155738597229,369.73491883985116
4,4489.87897493892,2171.155738597229,369.73491883985116
5,4489.87897493892,2171.155738597229,369.73491883985116
6,4489.87897493892,2171.155738597229,470.3810971251793
7,4489.87897493892,2171.155738597229,655.2485565451049
8,4489.87897493892,2171.155738597229,655.2485565451049
9,4489.87897493892,2171.155738597229,655.2485565451049
10,2979.1880690939606,1258.7675589711635,655.2485565451049
11,2113.1924997024676,1258.7675589711635,436.8323710300699
12,1949.266056126361,912.3881796260656,218.41618551503493
13,1831.7293015385453,912.3881796260656,218.41618551503493
14,1831.7293015385453,912.3881796260656,218.41618551503493
15,1831.7293015385453,912.3881796260656,218.41618551503493
16,1831.7293015385453,912.3881796260656,218.41618551503493
17,188.48302914391058,0.0,0.0
18,0.0,376.4492431864096,0.0
19,0.0,540.6076321745213,0.0
20,0.0,179.1248050426586,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,140.94932829158338,772.2453552355021,0.0
24,1155.1655034853811,772.2453552355021,100.6461782853281
25,0.0,772.2453552355021,100.6461782853281
26,0.0,772.2453552355021,100.6461782853281
27,0.0,772.2453552355021,100.6461782853281
28,252.40262743981583,1161.3179835133737,100.6461782853281
29,1643.2462723946348,1161.3179835133737,100.6461782853281
30,1643.2462723946348,1161.3179835133737,100.6461782853281
31,1643.2462723946348,1161.3179835133737,100.6461782853281
32,0.0,248.92980388730814,100.6461782853281
33,0.0,248.92980388730814,100.6461782853281
34,0.0,248.92980388730814,285.5136377052537
35,1196.5216950082872,626.665028126225,285.5136377052537
36,2587.365339963106,1398.910383361727,285.5136377052537
37,2914.447302925046,1398.910383361727,285.5136377052537
38,3099.035329984101,1398.910383361727,285.5136377052537
39,4489.87897493892,2171.155738597229,285.5136377052537
40,4489.87897493892,2171.155738597229,285.5136377052537
41,4489.87897493892,1807.079017106346,285.5136377052537
42,3204.769523366187,1807.079017106346,285.5136377052537
43,2029.4426804891068,1807.079017106346,285.5136377052537
44,386.19640809447196,894.6908374802805,470.3810971251793
45,0.0,894.6908374802805,470.3810971251793
46,0.0,894.6908374802805,470.3810971251793
47,0.0,894.6908374802805,470.3810971251793
48,0.0,894.6908374802805,470.3810971251793
49,196.10701344871543,894.6908374802805,655.2485565451049
50,1314.2487637095257,894.6908374802805,655.2485565451049
51,1008.939824982195,894.6908374802805,436.8323710300699
52,1139.6618122884568,894.6908374802805,218.41618551503498
53,2530.505457243276,943.8691254209947,158.4532527938109
54,3185.4918402032904,943.8691254209947,0.0
55,2020.8721483799281,943.8691254209947,0.0
56,377.62587598529325,31.480945794929085,0.0
