2026-06-01 10:42:52 | INFO | 1 | MacroEnergy | generate_model.jl:59 |  -- Generating operational model
2026-06-01 10:43:03 | INFO | 1 | MacroEnergy | generate_model.jl:98 |  -- Model generation complete, it took 14.391885995864868 seconds
2026-06-01 10:43:03 | INFO | 1 | MacroEnergy | solver.jl:14 | Scaling constraints and RHS
2026-06-01 10:50:14 | INFO | 1 | MacroEnergy | write_outputs.jl:13 | Writing results for period 1
2026-06-01 10:50:17 | INFO | 1 | MacroEnergy | write_capacity.jl:68 | Writing capacity results to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/capacity.csv
2026-06-01 10:50:24 | INFO | 1 | MacroEnergy | write_cost.jl:36 | Writing total discounted costs to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/costs.csv
2026-06-01 10:50:25 | INFO | 1 | MacroEnergy | write_cost.jl:79 | Writing total undiscounted costs to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/undiscounted_costs.csv
2026-06-01 10:50:27 | INFO | 1 | MacroEnergy | write_cost.jl:565 | Writing detailed discounted costs by type to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/costs_by_type.csv
2026-06-01 10:50:27 | INFO | 1 | MacroEnergy | write_cost.jl:573 | Writing detailed discounted costs by zone to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/costs_by_zone.csv
2026-06-01 10:50:27 | INFO | 1 | MacroEnergy | write_cost.jl:565 | Writing detailed undiscounted costs by type to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/undiscounted_costs_by_type.csv
2026-06-01 10:50:28 | INFO | 1 | MacroEnergy | write_cost.jl:573 | Writing detailed undiscounted costs by zone to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/undiscounted_costs_by_zone.csv
2026-06-01 10:50:28 | INFO | 1 | MacroEnergy | write_flow.jl:66 | Writing flow results to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/flows.csv
2026-06-01 10:50:29 | INFO | 1 | MacroEnergy | write_non_served_demand.jl:44 | Writing non-served demand results to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/non_served_demand.csv
2026-06-01 10:50:29 | INFO | 1 | MacroEnergy | write_storage_level.jl:58 | Writing storage level results to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/storage_level.csv
2026-06-01 10:50:29 | INFO | 1 | MacroEnergy | write_curtailment.jl:44 | Writing curtailment results to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/curtailment.csv
2026-06-01 10:50:30 | INFO | 1 | MacroEnergy | write_time_weights.jl:49 | Writing time weights to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results/time_weights.csv
2026-06-01 10:50:30 | INFO | 1 | MacroEnergy | write_duals.jl:38 | Writing constraint dual values to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results
2026-06-01 10:50:30 | INFO | 1 | MacroEnergy | write_duals.jl:81 | Writing balance constraint dual values to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results
2026-06-01 10:50:30 | INFO | 1 | MacroEnergy | write_duals.jl:174 | Writing CO2 cap constraint dual values to /Users/chinnykwok/hmei/MacroEnergy.jl/electricity_3zone/results_001/results
