Province,Cement,Steel
Anhui,0.25663171332999357,0.08085551071690081
Beijing,0.4949714313848712,0.090153584204496
Chongqing,0.5915536940610959,0.0588224275603344
Fujian,0.5741722742842104,0.06493577400646801
Gansu,0.16547865904879439,0.0467784902749992
Guangdong,0.1938683614390968,0.08140753777914721
Guangxi,0.2577049028104056,0.082288346141064
Hainan,0.38763407422770235,0.0
Hebei,0.485294036950284,0.09060903585251759
Heilongjiang,0.526217117027304,0.0828022672049592
Henan,0.6190347298304496,0.0741182825770536
Hubei,0.645494911155444,0.067483792006548
Hunan,0.1243045564779456,0.0551412939134832
Innermongolia,0.4814489200145976,0.0788415350476704
Jiangsu,0.254693740573368,0.06664543676994
Jilin,0.6136596993022991,0.078396584686236
Liaoning,0.737261584274832,0.0797285843414736
Ningxia,0.2724214645699752,0.0626071647067992
Qinghai,0.421425497265924,0.08002431082446239
Shaanxi,0.6510977219205769,0.0657065635812024
Shandong,0.7244496160583664,0.0678115609939368
Shanghai,0.4207369756916496,0.0633050013011328
Shanxi,0.258459570077244,0.0648344293207176
Sichuan,0.15823274514258,0.0468915506669976
Tianjin,0.5491717087136447,0.0840465413979456
Tibet,0.3969723811124328,0.0
Xinjiang,0.7780781860566863,0.079371539510208
Yunnan,0.29167004629803606,0.0703687252406208
Zhejiang,0.2121172753272024,0.0631331783638584
